"seccion","munn","edon","disloc2018","disloc2010","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,20,1,3,1172,16,1,1,0,0,3,0.421,0.325,0.325,0.349,3,0.661
2,2,20,2,25,977,13,2,0,0,1,25,0.517,0.196,0.636,0.168,25,0.56
35,3,20,3,22,1644,3,3,1,0,0,1,0.308,0.96,0,0.04,1,0.201
37,386,20,16,1,2249,3,16,0,0,1,1,0.308,0.874,0.025,0.101,1,0.201
39,4,20,4,20,1156,17,4,0,0,1,20,0.528,0.056,0.618,0.326,20,0.5
42,5,20,5,15,1012,14,5,0,0,1,15,0.734,0.248,0.512,0.24,15,0.616
43,6,20,6,5,885,5,6,1,0,0,6,0.431,0.446,0.23,0.324,6,0.369
57,7,20,7,16,3918,4,7,0,0,1,17,0.172,0.109,0.391,0.5,17,0.214
65,8,20,3,19,1070,2,3,1,0,0,4,0.378,0.421,0.263,0.316,4,0.301
68,9,20,8,4,540,20,8,1,0,0,5,0.214,0.436,0.3,0.264,5,0.239
74,11,20,9,18,2003,22,9,1,0,0,17,0.153,0.478,0.368,0.154,17,0.14
77,12,20,11,24,2816,20,11,0,0,1,5,0.214,0.281,0.562,0.157,5,0.239
87,13,20,5,21,710,14,5,1,0,0,15,0.734,0.171,0.638,0.19,15,0.616
90,14,20,10,8,2459,11,10,0,0,1,8,0.694,0.074,0.574,0.351,8,0.725
97,15,20,11,23,1481,18,11,1,0,0,24,0.429,0.592,0.125,0.283,24,0.435
104,16,20,12,13,1713,7,12,1,0,0,13,0.593,0.077,0.429,0.495,13,0.585
113,18,20,13,10,1404,19,13,1,0,0,7,0.462,0.107,0.536,0.357,7,0.395
125,21,20,7,14,334,1,7,0,0,1,14,0.289,0.219,0.328,0.453,14,0.388
127,22,20,15,17,1518,4,15,0,0,1,17,0.172,0.108,0.592,0.299,17,0.214
131,23,20,14,12,2747,8,14,0,0,1,21,0.396,0.034,0.661,0.305,21,0.331
192,33,20,18,2,2822,16,18,0,0,1,3,0.421,0.322,0.344,0.333,3,0.661
396,56,20,21,11,1451,10,21,0,0,1,11,0.822,0.225,0.441,0.333,11,0.784
432,59,20,10,7,2299,19,10,0,0,1,7,0.462,0.126,0.495,0.379,7,0.395
669,76,20,6,6,5561,5,6,1,0,0,6,0.431,0.635,0.208,0.156,6,0.369
908,150,20,13,9,773,21,13,0,0,1,9,0.955,0.206,0.317,0.476,9,0.939
