"seccion","munn","edo","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"gue",12,8,8,1622,24,4,1,0,0,8,0.998,0.39,0.537,0.073,8,0.988
14,1,"gue",12,4,4,878,24,9,1,0,0,4,1,1,0,0,4,1
24,1,"gue",12,5,5,1530,18,5,1,0,0,5,1,0.845,0.121,0.034,5,1
40,1,"gue",12,3,3,1251,18,7,1,0,0,3,1,1,0,0,3,1
112,1,"gue",12,9,9,6223,20,6,1,0,0,9,1,0.387,0.516,0.097,9,1
149,1,"gue",12,6,6,2464,22,8,1,0,0,6,1,0.962,0.019,0.019,6,1
282,1,"gue",12,7,7,1360,21,3,1,0,0,7,1,0.564,0.359,0.077,7,1
384,2,"gue",12,26,26,3881,12,1,0,0,1,26,0.888,0,0.933,0.067,26,0.925
411,3,"gue",12,17,17,1519,5,20,0,0,1,17,1,0.085,0.835,0.079,17,1
456,4,"gue",12,28,28,2557,15,14,1,0,0,28,0.905,0.019,0.904,0.077,28,0.963
474,5,"gue",12,27,27,1247,15,15,1,0,0,27,0.931,0.202,0.723,0.074,27,0.979
479,6,"gue",12,20,20,728,11,22,0,0,1,20,1,0.186,0.762,0.052,20,1
500,7,"gue",12,18,18,1844,4,21,0,0,1,18,1,0.245,0.704,0.05,18,1
553,8,"gue",12,23,23,1259,12,23,0,0,1,23,1,0.25,0.643,0.107,23,1
596,11,"gue",12,10,10,1007,3,26,1,0,0,10,1,0.302,0.563,0.135,10,1
671,12,"gue",12,14,14,4404,6,13,1,0,0,14,1,0.11,0.83,0.06,14,1
725,13,"gue",12,15,15,1370,6,16,1,0,0,15,0.971,0.162,0.714,0.124,15,0.981
789,16,"gue",12,12,12,675,10,27,1,0,0,12,0.998,0.343,0.598,0.059,12,0.99
1112,28,"gue",12,25,25,7040,27,12,1,0,0,25,0.884,0.153,0.788,0.059,25,0.904
1204,29,"gue",12,1,1,10726,25,11,1,0,0,1,1,0.723,0.213,0.064,1,1
1207,29,"gue",12,2,2,3651,25,10,0,0,1,2,1,0.737,0.175,0.088,2,1
1309,30,"gue",12,19,19,1868,11,25,1,0,0,19,1,0.19,0.72,0.09,19,1
1480,36,"gue",12,22,22,6477,7,24,0,0,1,22,1,0.873,0.113,0.014,22,1
1602,39,"gue",12,11,11,650,28,28,1,0,0,11,1,0.27,0.631,0.099,11,1
1654,40,"gue",12,13,13,2105,13,18,0,0,1,13,1,0.177,0.761,0.062,13,1
1719,43,"gue",12,24,24,1365,12,19,1,0,0,24,1,0.224,0.72,0.056,24,1
1809,47,"gue",12,16,16,6660,8,17,0,0,1,16,1,0.134,0.657,0.209,16,1
1933,50,"gue",12,21,21,1853,4,2,0,0,1,21,1,0.284,0.672,0.045,21,1
