"seccion","munn","edon","disloc2017","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,25,3,3,19421,19,3,1,0,0,0,0,0,4,0.403,0.761,0.126,0.113,0.123,0.877,0,4,0.416
111,1,25,3,4,1123,19,3,1,0,0,1,0,0,4,0.403,0.782,0.093,0.124,0.17,0.83,0,4,0.416
456,2,25,2,8,1151,1,2,1,0,0,0,1,0,9,0.634,0.547,0.255,0.198,0,0.939,0.061,9,0.584
563,3,25,23,11,707,16,23,0,0,1,0,1,0,10,0.431,0.031,0.908,0.062,0,1,0,10,0.537
629,4,25,11,21,644,5,11,0,0,1,0,1,0,20,0.463,0.222,0.444,0.333,0.05,0.95,0,20,0.47
675,5,25,19,16,844,15,19,1,0,0,0,1,0,12,0.233,0.176,0.765,0.059,0,1,0,12,0.178
710,6,25,18,24,1241,13,18,1,0,0,0,1,0,12,0.141,0.892,0.09,0.018,0.198,0.802,0,12,0.248
773,6,25,20,12,328,13,20,1,0,0,0,0,0,12,0.141,0.856,0.123,0.021,0.058,0.942,0,12,0.248
990,6,25,17,13,332,12,17,1,0,0,0,1,0,13,0.361,0.918,0.019,0.062,0.025,0.975,0,13,0.376
1532,6,25,17,14,597,11,17,0,1,0,0,0,0,14,0.241,0.453,0.438,0.109,0.011,0.989,0,14,0.33
1726,7,25,1,1,1897,2,1,0,0,1,1,0,0,5,0.721,0.157,0.743,0.1,0.464,0.536,0,5,0.724
1799,8,25,19,17,1597,10,19,1,0,0,0,1,0,14,0.284,0.367,0.55,0.083,0,1,0,14,0.274
1860,9,25,10,23,128,3,10,1,0,0,0,0,0,22,0.48,0.625,0.172,0.203,0.038,0.962,0,22,0.576
1925,10,25,1,2,462,18,1,1,0,0,1,0,0,2,1,0.33,0.534,0.136,0.209,0.791,0,2,1
2101,11,25,6,6,3065,23,6,0,0,1,0,0,0,6,0.572,0.637,0.231,0.132,0.016,0.922,0.062,6,0.441
2114,11,25,4,7,452,23,4,1,0,0,0,0,0,6,0.572,0.562,0.323,0.115,0,0.965,0.035,6,0.441
2540,12,25,11,20,268,4,11,1,0,0,1,0,0,19,0.326,0.843,0.087,0.071,0.325,0.675,0,19,0.48
2667,12,25,14,19,3658,6,14,1,0,0,1,0,0,19,0.328,0.892,0.071,0.037,0.547,0.453,0,19,0.194
2997,13,25,23,10,389,16,23,1,0,0,0,1,0,10,0.431,0.285,0.477,0.238,0,0.984,0.016,10,0.537
3131,14,25,10,22,1366,3,10,1,0,0,0,1,0,22,0.48,0.379,0.506,0.115,0.025,0.95,0.025,22,0.576
3220,15,25,2,9,2445,1,2,1,0,0,0,1,0,9,0.634,0.779,0.154,0.067,0.014,0.972,0.014,9,0.584
3370,16,25,19,18,1687,10,19,0,0,1,0,1,0,14,0.284,0.159,0.659,0.182,0,1,0,14,0.274
3420,17,25,5,5,902,2,5,1,0,0,0,0,0,5,0.721,0.223,0.707,0.071,0.365,0.635,0,5,0.724
3614,18,25,24,15,139,17,24,1,0,0,1,0,0,15,0.775,0.483,0.322,0.195,0.111,0.873,0.016,15,0.73
