"seccion","munn","edon","disloc2017","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,31,1,8,2034,8,1,1,0,0,14,0.36,0.559,0.22,0.22,14,0.336
7,2,31,2,14,4453,8,2,1,0,0,14,0.36,0.487,0.218,0.295,14,0.336
14,3,31,3,12,2901,7,3,1,0,0,12,0.363,0.5,0.25,0.25,12,0.423
20,4,31,4,9,862,3,4,1,0,0,9,0.883,0.652,0.169,0.18,9,0.891
27,6,31,5,10,2118,6,5,1,0,0,15,0.206,0.527,0.165,0.308,15,0.261
37,8,31,6,11,3004,4,6,1,0,0,10,0.473,0.469,0.25,0.281,10,0.477
47,10,31,7,15,2328,9,7,0,0,1,15,0.371,0.362,0.343,0.295,15,0.347
76,18,31,9,13,1864,8,9,1,0,0,14,0.36,0.516,0.219,0.266,14,0.336
204,41,31,2,6,579,2,2,1,0,0,14,0.209,0.818,0.127,0.055,14,0.212
254,50,31,15,4,1504,13,15,1,0,0,4,0.824,0.844,0.094,0.062,4,0.819
261,50,31,14,5,681,11,14,1,0,0,5,0.623,0.98,0,0.02,5,0.645
308,50,31,13,3,1530,14,13,1,0,0,3,0.327,0.976,0.012,0.012,3,0.351
314,50,31,10,2,668,12,10,1,0,0,2,0.509,1,0,0,2,0.484
362,50,31,14,1,1292,11,14,1,0,0,5,0.623,1,0,0,5,0.645
465,50,31,10,7,2783,12,10,1,0,0,2,0.509,0.97,0,0.03,2,0.484
