"seccion","munn","edo","edon","disloc2018","disloc2012","pobtot","esc1","esc3","esc3jge","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"mor",17,9,9,2107,1,1,1,0,0,1,9,0.554,0.535,0.163,0.302,9,0.462
12,2,"mor",17,4,13,2745,11,11,11,0,0,1,17,0.619,0.462,0.327,0.212,17,0.614
24,3,"mor",17,11,18,3542,2,2,2,1,0,0,11,0.594,0.59,0.148,0.262,11,0.633
44,4,"mor",17,10,16,1941,3,3,3,1,0,0,16,0.509,0.548,0.214,0.238,16,0.477
86,5,"mor",17,9,8,1071,4,1,1,1,0,0,9,0.554,0.492,0.246,0.262,9,0.462
97,6,"mor",17,4,14,5717,12,12,11,1,0,0,14,0.63,0.935,0.022,0.043,14,0.53
136,6,"mor",17,7,15,1380,12,12,12,1,0,0,14,0.63,0.911,0.044,0.044,14,0.53
188,7,"mor",17,2,1,4047,10,9,9,0,0,1,4,0.382,0.8,0.109,0.091,4,0.409
194,7,"mor",17,1,2,4773,8,8,8,1,0,0,2,0.395,1,0,0,2,0.326
244,7,"mor",17,2,3,1242,10,9,9,1,0,0,4,0.382,0.98,0,0.02,4,0.409
327,7,"mor",17,2,4,936,10,9,9,1,0,0,4,0.382,1,0,0,4,0.409
391,8,"mor",17,8,5,5445,5,4,4,0,0,1,8,0.331,0.905,0,0.095,8,0.28
431,11,"mor",17,6,6,1865,6,6,6,1,0,0,6,0.344,1,0,0,6,0.483
448,11,"mor",17,6,7,3503,6,6,6,1,0,0,6,0.344,0.973,0,0.027,6,0.483
501,12,"mor",17,11,11,2087,1,2,2,0,0,1,11,0.594,0.581,0.242,0.177,11,0.633
569,16,"mor",17,4,17,2583,11,11,11,0,0,1,17,0.619,0.465,0.233,0.302,17,0.614
670,20,"mor",17,3,12,2222,9,10,10,0,0,1,13,0.171,0.66,0.1,0.24,13,0.174
707,24,"mor",17,10,10,2263,3,3,3,0,0,1,16,0.509,0.623,0.151,0.226,16,0.477
