"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,2,9,5,5,905,15,15,1,0,0,0,0,1,15,1,1,0,0,0.148,0,0.852,15,1
56,2,9,3,5,4431,16,16,1,0,0,0,0,1,16,1,1,0,0,0.148,0,0.852,16,1
345,3,9,26,26,1668,23,23,1,0,0,0,0,1,23,0.949,1,0,0,0.534,0,0.466,23,0.965
359,3,9,26,32,1497,21,21,1,0,0,0,0,0,21,1,1,0,0,0.062,0,0.938,21,1
369,3,9,30,26,1050,22,22,1,0,0,1,0,0,22,1,1,0,0,0.534,0,0.466,22,1
747,4,9,20,20,4007,31,31,1,0,0,0,0,1,31,1,0.981,0,0.019,0.253,0,0.747,31,1
821,5,9,1,1,3366,12,12,1,0,0,0,0,1,12,1,1,0,0,0,0,1,12,1
963,5,9,2,2,838,10,10,1,0,0,0,0,1,10,0.948,1,0,0,0.263,0,0.737,10,0.956
1148,5,9,2,7,1235,11,11,1,0,0,0,0,1,11,1,1,0,0,0.289,0,0.711,11,1
1219,5,9,4,4,1003,9,9,1,0,0,0,0,1,9,0.947,1,0,0,0,0,1,9,0.947
1672,6,9,15,15,1025,19,18,1,0,0,0,0,1,18,0.689,1,0,0,0.165,0,0.835,18,0.681
1696,6,9,15,15,2308,18,18,1,0,0,0,0,1,18,0.689,1,0,0,0.165,0,0.835,18,0.681
1971,7,9,24,24,1322,6,6,1,0,0,0,0,1,6,0.894,1,0,0,0.128,0,0.872,6,0.906
1996,7,9,21,21,1154,7,7,1,0,0,0,0,1,7,0.954,1,0,0,0.065,0,0.935,7,0.945
2077,7,9,22,19,982,8,8,1,0,0,0,0,1,8,1,1,0,0,0,0,1,8,1
2278,7,9,29,21,3220,2,2,1,0,0,0,0,1,2,1,1,0,0,0.065,0,0.935,2,1
2341,7,9,24,28,1591,5,6,1,0,0,0,0,1,6,0.894,1,0,0,0.044,0.007,0.949,6,0.906
2563,7,9,27,29,2598,3,3,1,0,0,0,0,1,3,1,1,0,0,0,0,1,3,1
2673,7,9,31,31,1644,4,4,1,0,0,0,0,1,4,1,1,0,0,0,0,1,4,1
2972,8,9,33,33,1166,1,1,1,0,0,0,0,1,1,1,0.986,0,0.014,0.162,0,0.838,1,1
3119,9,9,7,34,2025,28,25,1,0,0,0,0,1,28,0.333,0.761,0,0.239,0,0,1,28,0.352
3163,10,9,18,18,1770,33,33,1,0,0,0,0,1,33,1,1,0,0,0.022,0,0.978,33,1
3217,10,9,23,23,1141,32,32,1,0,0,0,0,1,32,1,1,0,0,0.517,0,0.483,32,1
3609,11,9,8,35,3458,26,26,1,0,0,0,0,1,26,0.704,0.946,0,0.054,0,0.011,0.989,26,0.693
3696,11,9,8,34,2135,25,26,1,0,0,0,0,1,26,0.704,0.761,0,0.239,0,0,1,26,0.693
3742,12,9,16,38,1105,30,28,1,0,0,0,0,1,30,0.906,1,0,0,0.455,0,0.545,30,0.943
3769,12,9,14,37,1330,29,27,1,0,0,1,0,0,29,0.979,1,0,0,0.136,0,0.864,29,0.963
4095,13,9,19,39,1570,27,29,1,0,0,0,0,1,27,0.389,0.936,0,0.064,0.151,0,0.849,27,0.386
4269,14,9,17,16,1860,24,24,1,0,0,1,0,0,24,0.949,1,0,0,0.848,0,0.152,24,0.966
4523,15,9,12,13,1429,14,14,1,0,0,0,0,0,14,1,1,0,0,0.788,0,0.212,14,1
4586,15,9,9,9,2871,13,13,1,0,0,0,0,1,13,1,1,0,0,0,0.021,0.979,13,1
4913,16,9,13,13,1411,17,17,1,0,0,1,0,0,17,1,1,0,0,0.788,0,0.212,17,1
5183,17,9,10,10,1442,20,20,1,0,0,0,0,1,20,0.773,1,0,0,0.101,0,0.899,20,0.785
