"seccion","munn","edo","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"bc",2,15,14,1952,7,7,1,0,0,7,1,0.901,0.079,0.02,7,1
11,1,"bc",2,16,14,2910,6,6,1,0,0,6,1,0.901,0.079,0.02,6,1
126,1,"bc",2,17,15,19001,8,8,1,0,0,8,1,0.72,0.271,0.009,8,1
211,2,"bc",2,4,1,948,1,1,1,0,0,1,1,1,0,0,1,1
217,2,"bc",2,3,2,389,5,5,1,0,0,5,1,1,0,0,5,1
375,2,"bc",2,2,4,1012,4,4,1,0,0,4,1,0.973,0.027,0,4,1
495,2,"bc",2,5,6,1785,3,3,1,0,0,3,1,0.792,0.092,0.117,3,1
549,2,"bc",2,1,5,1043,2,2,0,1,0,2,1,0.481,0.321,0.198,2,1
694,3,"bc",2,6,7,1939,12,12,1,0,0,12,1,0.61,0.073,0.317,12,1
735,4,"bc",2,11,8,2750,16,16,1,0,0,16,1,0.949,0.036,0.014,16,1
739,4,"bc",2,10,8,1284,11,11,1,0,0,11,1,0.949,0.036,0.014,11,1
869,4,"bc",2,9,12,563,13,13,1,0,0,13,1,1,0,0,13,1
964,4,"bc",2,8,10,1067,17,17,1,0,0,17,1,1,0,0,17,1
966,4,"bc",2,12,10,1247,9,9,1,0,0,9,1,1,0,0,9,1
1005,4,"bc",2,13,10,1120,14,14,1,0,0,14,1,1,0,0,14,1
1049,4,"bc",2,7,13,7721,10,10,1,0,0,10,1,0.93,0.053,0.017,10,1
1158,4,"bc",2,14,13,3528,15,15,1,0,0,15,1,0.93,0.053,0.017,15,1
