"seccion","munn","edo","edon","disloc2017","disloc2011","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"coa",5,5,13,760,6,5,0,0,1,12,0.427,0.673,0.1,0.227,12,0.41
3,2,"coa",5,1,15,3083,5,3,1,0,0,15,0.851,0.783,0.152,0.065,15,0.708
42,3,"coa",5,5,14,3656,6,5,1,0,0,12,0.427,0.611,0.194,0.194,12,0.41
57,4,"coa",5,12,5,7004,7,11,0,0,1,5,1,0.252,0.643,0.104,5,1
81,5,"coa",5,5,12,593,6,5,0,0,1,12,0.427,0.803,0.128,0.068,12,0.41
110,7,"coa",5,4,11,1287,2,4,0,0,1,10,0.494,0.705,0.18,0.115,10,0.443
131,9,"coa",5,7,10,2483,3,8,1,0,0,6,0.457,0.407,0.537,0.057,6,0.618
257,17,"coa",5,7,6,1941,3,8,1,0,0,6,0.457,0.284,0.52,0.196,6,0.618
577,25,"coa",5,2,16,4421,8,16,0,0,1,16,0.835,0.908,0.034,0.057,16,0.784
730,30,"coa",5,14,4,2708,16,13,1,0,0,1,0.713,0.966,0.034,0,1,0.7
731,30,"coa",5,14,1,7970,16,13,1,0,0,1,0.713,1,0,0,1,0.7
834,30,"coa",5,15,2,3589,14,14,1,0,0,2,0.345,0.699,0.285,0.016,2,0.199
839,30,"coa",5,15,3,833,13,14,1,0,0,2,0.345,1,0,0,2,0.199
1172,35,"coa",5,8,9,4860,12,7,1,0,0,9,0.324,1,0,0,9,0.283
1218,35,"coa",5,9,8,1326,11,10,1,0,0,8,0.572,1,0,0,8,0.65
1352,35,"coa",5,11,7,2197,9,9,1,0,0,7,0.245,1,0,0,7,0.15
